longitude,latitude,YR,MO,X,Y,TOT,CR
-73.85575892,40.88713785,2014,2,1024133,262519,1,RAPE
-73.88181344,40.87873029,2014,2,1016933,259445,1,FELONY ASSAULT
-73.91946077,40.64023904,2014,1,1006602,172543,2,FELONY ASSAULT
-73.8864302,40.81795888,2014,2,1015685,237302,1,FELONY ASSAULT
-73.8977557,40.81611405,2014,2,1012551,236626,1,ROBBERY
-73.82758307,40.82951529,2014,2,1031965,241539,1,FELONY ASSAULT
-73.89891017,40.81955146,2014,2,1012230,237878,1,RAPE
-73.92646246,40.80641138,2014,2,1004608,233083,1,ROBBERY
-73.95847284,40.66343944,2014,2,995771,180988,1,ROBBERY
-73.91957506,40.65303806,2014,2,1006566,177206,2,FELONY ASSAULT
-73.88358285,40.66950339,2014,2,1016545,183216,1,FELONY ASSAULT
-73.9062937,40.82817611,2014,1,1010183,241018,1,ROBBERY
-73.94601148,40.67319469,2014,2,999226,184544,1,ROBBERY
-73.95410177,40.72985018,2014,2,996971,205184,1,ROBBERY
-73.99248104,40.59973466,2014,2,986338,157776,1,ROBBERY
-73.93602752,40.66369264,2014,2,1001998,181084,1,FELONY ASSAULT
-74.00145145,40.61055488,2014,2,983847,161718,1,FELONY ASSAULT
-73.97510225,40.68713988,2014,2,991155,189621,1,FELONY ASSAULT
-73.92079098,40.65792736,2014,2,1006227,178987,1,FELONY ASSAULT
-73.87482002,40.67694352,2014,2,1018972,185930,1,FELONY ASSAULT
-73.89585965,40.82263106,2014,7,1013073,239001,1,ROBBERY
-73.94216108,40.69842551,2014,2,1000288,193737,1,FELONY ASSAULT
-73.98986425,40.71065105,2014,2,987060,198186,2,ROBBERY
-73.9471074,40.79592412,2014,2,998895,229258,1,ROBBERY
-73.97584681,40.72205345,2014,2,990945,202341,1,FELONY ASSAULT
-73.858916,40.71171236,2014,2,1023363,198604,1,ROBBERY
-73.80995698,40.70030879,2014,2,1036945,194475,1,ROBBERY
-73.74017769,40.72557804,2014,2,1056266,203731,1,FELONY ASSAULT
-73.99991702,40.72693341,2014,7,984273,204118,1,FELONY ASSAULT
-73.82090938,40.69914061,2014,2,1033909,194043,1,FELONY ASSAULT
-73.81260416,40.58739244,2014,2,1036299,153335,1,FELONY ASSAULT
-73.81227256,40.7079156,2014,2,1036297,197245,1,ROBBERY
-73.79515155,40.70762565,2014,2,1041044,197150,1,FELONY ASSAULT
-73.86135659,40.69504634,2014,2,1022696,192531,1,FELONY ASSAULT
-73.78726051,40.71076508,2014,2,1043229,198299,1,ROBBERY
